UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25,UMAP_26,UMAP_27,UMAP_28,UMAP_29,UMAP_30,UMAP_31,UMAP_32,UMAP_33,UMAP_34,UMAP_35,UMAP_36,UMAP_37,UMAP_38,UMAP_39,UMAP_40,UMAP_41,UMAP_42,UMAP_43,UMAP_44,UMAP_45,UMAP_46,UMAP_47,UMAP_48,UMAP_49,UMAP_50,cluster
12.474349,-3.1501038,0.31518227,7.151763,7.636397,2.7757213,7.6361938,2.7994645,8.869211,4.5163364,3.6879714,5.351599,2.9411569,4.1037235,5.4982963,4.5547976,6.7525253,3.8640413,2.7100384,3.391121,3.5260148,3.731085,5.6624107,3.988328,4.5256453,6.2052298,5.2137237,2.9405477,3.2452152,7.135233,3.378991,7.858329,7.0726175,5.9248133,6.1987267,5.7125483,6.2460623,4.5860586,4.1578627,5.8216734,5.7819695,3.6956098,6.2889113,6.3536425,3.7841246,5.4665136,5.7038097,4.669371,4.1307898,3.2040572,0
13.122981,-1.7229704,-0.11526901,6.985602,7.75213,2.5954175,7.593564,2.5165207,8.572726,5.011823,4.1353135,5.0291276,2.8254347,3.931585,5.4440594,4.49751,6.7555118,3.7567968,2.62669,3.234053,3.5976057,3.7890217,5.540314,4.1167893,4.535793,6.193828,5.503682,3.084237,3.400368,7.42405,3.3733814,8.036403,6.8467784,5.8390193,6.209053,5.743247,6.244604,4.553005,4.2723227,5.932111,5.897591,3.7578514,6.225515,6.1704845,3.607477,5.6001744,5.8058863,4.6720924,4.3731356,3.0576804,0
13.091314,-0.5482429,-0.61689484,6.8398595,7.853467,2.5473816,7.6223645,2.5038393,8.399845,5.210699,4.4048414,4.827768,2.6798,3.9295785,5.2056694,4.3921027,6.6999545,3.700874,2.7983766,3.1639276,3.6881287,3.8540795,5.600893,4.3274236,4.501309,6.030119,5.67784,3.234015,3.5450528,7.366169,3.5307665,7.8147845,6.6703258,5.7280746,6.0248313,5.691363,6.124747,4.6399612,4.3684955,5.989833,5.927406,3.928396,6.3463955,6.0277762,3.6484685,5.6150393,5.723428,4.8017235,4.7346296,3.1041803,1
10.952557,-3.1676147,-0.021373414,6.58888,7.0174804,2.8789742,7.079699,1.7866504,8.599235,4.736506,3.6906931,5.5147285,2.9897904,4.3740373,5.386829,4.5173936,6.8601885,4.234776,3.0082448,3.4220033,3.64859,3.9243355,5.6975408,3.9716766,4.7105165,6.0961094,4.8406777,3.0936434,3.4110572,6.862831,3.2623014,7.7248783,6.7907887,6.1248336,6.0575104,5.7154655,6.656712,4.6749763,4.563844,6.0300727,5.6777167,3.786134,6.3297253,6.229645,3.9596133,5.5307198,5.3828764,4.5225735,4.256617,3.452214,2
13.221054,-1.6055756,0.08914552,7.157371,8.06428,2.5885692,7.9618645,3.2432876,8.786518,4.784303,4.143162,4.927101,2.7618175,3.8226628,5.411924,4.494967,6.6507998,3.6004624,2.5732915,3.312732,3.499,3.7496452,5.5445623,4.2282324,4.3715577,6.126603,5.7460465,3.1089416,3.357477,7.4295554,3.5763333,7.936271,7.0203996,5.670871,6.1549783,5.6469913,5.845866,4.5060053,4.00543,5.757355,5.908231,3.763388,6.273035,6.2138143,3.6509752,5.5263877,5.946837,4.9267273,4.4172893,3.009313,0
12.892172,-0.28697634,-0.8998028,6.592109,7.48933,2.5483918,7.2106557,1.8249733,8.027607,5.5858674,4.56471,4.8242564,2.710252,4.049528,5.0990644,4.3614845,6.7880473,3.8952315,2.9622688,3.0895305,3.8458154,3.9766319,5.578327,4.352704,4.6546164,5.959015,5.525681,3.3813157,3.6834712,7.3134227,3.4411454,7.7609572,6.3817635,5.816134,5.993727,5.7183313,6.4521294,4.742406,4.7210684,6.225486,5.9052444,3.9887738,6.32641,5.882495,3.6587949,5.7167573,5.5369334,4.6136484,4.9056764,3.2173045,1
10.570136,-3.3618944,-0.22640152,6.634873,6.973312,3.0067894,7.056675,1.8557174,8.625964,4.5312133,3.5118961,5.653707,2.9718525,4.571614,5.192161,4.4573374,6.8310204,4.2892795,3.2862442,3.4361742,3.7246811,3.9157865,5.910892,4.018823,4.72479,5.9814825,4.6578603,3.0500176,3.4053364,6.529246,3.355057,7.3402586,6.7721815,6.147889,5.889253,5.687408,6.682722,4.837951,4.6434555,6.0490346,5.6046915,3.9076564,6.515482,6.2569194,4.1309385,5.429706,5.1380825,4.537637,4.3794603,3.64805,2
11.986349,-3.382548,0.1572428,7.1669044,7.581621,2.9197237,7.609572,2.8483922,8.911213,4.291164,3.48153,5.5088744,2.937894,4.3003135,5.3247848,4.5000076,6.7276735,3.926839,2.9814427,3.4101682,3.5876417,3.7297711,5.87462,4.017425,4.5434527,6.1075063,5.0082135,2.880317,3.2384806,6.7996025,3.4549923,7.492953,7.066934,5.965457,6.038597,5.690848,6.2821536,4.730206,4.2329936,5.8288875,5.7021036,3.8071873,6.467805,6.386129,3.9588726,5.361909,5.4575434,4.685131,4.224888,3.4012923,0
12.636346,-2.4729776,0.032803863,6.9415765,7.519399,2.6836646,7.4270315,2.2808783,8.616669,4.891419,3.9277213,5.2295566,2.9168599,4.0590944,5.5011816,4.5335355,6.807585,3.9011178,2.6796632,3.2894657,3.5970926,3.7961946,5.5728,4.0015664,4.60703,6.2287793,5.2539415,3.0249245,3.3544116,7.2932105,3.2774541,8.023575,6.874246,5.96167,6.2332444,5.7656827,6.4279747,4.5713654,4.3402767,5.9568496,5.8331017,3.7145424,6.2170963,6.2321405,3.6773107,5.579637,5.704916,4.5619664,4.226732,3.1486356,0
10.645584,-3.2401056,-0.27837315,6.627717,6.9704485,2.9536798,7.049674,1.833904,8.600558,4.608952,3.6050694,5.597822,2.9447684,4.544012,5.1910276,4.458327,6.830628,4.2848744,3.2537062,3.4390674,3.7301252,3.918604,5.8656898,4.0452065,4.7163124,5.9639072,4.7275715,3.1071453,3.4191082,6.58612,3.367812,7.384059,6.746928,6.118222,5.8928237,5.6743274,6.660708,4.8326216,4.6410117,6.0642357,5.625257,3.9057767,6.49332,6.2368474,4.1078563,5.458445,5.1842666,4.5462966,4.412072,3.6168773,2
